,sim,pop_num,alg,inh_auc,perc_inh_gt,perc_inh_pred
152,8_pop_stim_isol_full_inh_3,8,RC,0.4523809523809524,1.56,0.0
153,8_pop_stim_isol_full_inh_3,8,CN,0.5,1.56,0.0
154,8_pop_stim_isol_full_inh_3,8,TE,0.5,1.56,0.0
155,8_pop_stim_isol_full_inh_3,8,CC,0.5,1.56,0.0
156,8_pop_full_inh_stim_2,8,RC,0.7349726775956283,4.69,6.25
157,8_pop_full_inh_stim_2,8,CN,0.5,4.69,0.0
158,8_pop_full_inh_stim_2,8,TE,0.5,4.69,0.0
159,8_pop_full_inh_stim_2,8,CC,0.5,4.69,0.0
160,8_pop_stim_full_inh_3,8,RC,0.6135593220338983,7.81,6.25
161,8_pop_stim_full_inh_3,8,CN,0.5,7.81,0.0
162,8_pop_stim_full_inh_3,8,TE,0.5,7.81,0.0
163,8_pop_stim_full_inh_3,8,CC,0.5,7.81,0.0
164,8_pop_full_inh_pto_1,8,RC,0.5152542372881356,7.81,4.69
165,8_pop_full_inh_pto_1,8,CN,0.5,7.81,0.0
166,8_pop_full_inh_pto_1,8,TE,0.5,7.81,0.0
167,8_pop_full_inh_pto_1,8,CC,0.5,7.81,0.0
168,8_pop_stim_1,8,RC,,0.0,0.0
169,8_pop_stim_1,8,CN,,0.0,0.0
170,8_pop_stim_1,8,TE,,0.0,0.0
171,8_pop_stim_1,8,CC,,0.0,0.0
172,8_pop_full_inh_pto_6,8,RC,0.7770833333333333,6.25,6.25
173,8_pop_full_inh_pto_6,8,CN,0.5,6.25,0.0
174,8_pop_full_inh_pto_6,8,TE,0.5,6.25,0.0
175,8_pop_full_inh_pto_6,8,CC,0.5,6.25,0.0
176,8_pop_stim_isol_full_inh_1,8,RC,0.7786885245901639,4.69,0.0
177,8_pop_stim_isol_full_inh_1,8,CN,0.5,4.69,0.0
178,8_pop_stim_isol_full_inh_1,8,TE,0.5,4.69,0.0
179,8_pop_stim_isol_full_inh_1,8,CC,0.5,4.69,0.0
180,8_pop_full_inh_stim_1,8,RC,0.4126984126984127,1.56,1.56
181,8_pop_full_inh_stim_1,8,CN,0.5,1.56,0.0
182,8_pop_full_inh_stim_1,8,TE,0.5,1.56,0.0
183,8_pop_full_inh_stim_1,8,CC,0.5,1.56,0.0
184,8_pop_stim_full_inh_2,8,RC,0.913793103448276,9.38,6.25
185,8_pop_stim_full_inh_2,8,CN,0.5,9.38,0.0
186,8_pop_stim_full_inh_2,8,TE,0.5,9.38,0.0
187,8_pop_stim_full_inh_2,8,CC,0.5,9.38,0.0
188,8_pop_stim,8,RC,,0.0,0.0
189,8_pop_stim,8,CN,,0.0,0.0
190,8_pop_stim,8,TE,,0.0,0.0
191,8_pop_stim,8,CC,,0.0,0.0
192,8_pop_stim_isol_full_inh_2,8,RC,0.5,3.12,0.0
193,8_pop_stim_isol_full_inh_2,8,CN,0.49193548387096775,3.12,0.0
194,8_pop_stim_isol_full_inh_2,8,TE,0.5,3.12,0.0
195,8_pop_stim_isol_full_inh_2,8,CC,0.5,3.12,0.0
196,8_pop_full_inh_pto_3,8,RC,0.6220338983050847,7.81,10.94
197,8_pop_full_inh_pto_3,8,CN,0.5,7.81,0.0
198,8_pop_full_inh_pto_3,8,TE,0.5,7.81,0.0
199,8_pop_full_inh_pto_3,8,CC,0.5,7.81,0.0
