exp_name	q	stim	selected_m	selected_alpha	xrmse	auc	cc	tau
8_pop_full_inh_pto_3	373.125	2	2	1.0	0.2318591016184705	1.0	0.7679723831218676	2.6842658254262157
8_pop_full_inh_pto_3	373.125	5	2	1.0	0.2629950752973279	1.0	0.4811531554610928	-2.665452120271698
8_pop_full_inh_pto_3	373.125	6	2	0.1	0.2923799123767443	1.0	0.3758310833231301	3.1682224731045894
16_full_inh_stim	39.875	4	1	1.0	0.322326219142152	1.0	0.6461686688704882	-21.171585228788544
16_full_inh_stim	39.875	13	1	0.6	0.2738616203518247	0.7421875	0.5561599100931481	-20.682701619161257
8_pop_stim_isol_full_inh_3	92.75	2	25	1.0	0.2217393042787092	1.0	0.1077019193378711	-7.960887623288969
8_pop_stim_isol_full_inh_3	92.75	3	25	1.0	0.213140963153964	0.9333333333333332	0.9953081663545548	-16.689414362939146
8_pop_stim_isol_full_inh_3	92.75	7	25	1.0	0.1886912190104692	1.0	0.7017251870253185	-10.789811297515678
4_pop_stim_full_inh_1	1320.75	2	10	0.8	0.1937160570837028	1.0	0.9749208973220864	-0.052853485798506
4_pop_stim_full_inh_1	1320.75	3	10	0.9	0.82492881147229	0.1666666666666666	-0.5534658574296529	-7.370257117213285
8_pop_stim_isol_full_inh_2	22.625	2	2	0.1	0.186903477212656	1.0	0.9977692896251704	-1.604641969841868
8_pop_stim_isol_full_inh_2	22.625	4	2	0.9	0.490920717700992	0.25	-0.5506370444878343	-15.129834228636287
8_pop_stim_isol_full_inh_2	22.625	6	2	0.8	0.2688574328051445	0.53125	-0.181849907599967	10.216799315055006
4_pop_full_inh_pto_4	327.0	0	10	1.0	0.2292712655886196	1.0	-0.391173239666077	2.896324253171213
4_pop_full_inh_pto_4	327.0	2	10	1.0	0.2776732717057497	1.0	0.6264954737535164	17.756712064833874
4_pop_full_inh_pto_4	327.0	3	10	0.8	0.2255970327623558	1.0	0.7217595834276097	2.1517968285774587
32_pop_isol_stim_full_inb_1_new	486.90625	3	5	1.0	0.0449642682644539	0.9045454545454544	0.7428320686713454	5.225755830967767
32_pop_isol_stim_full_inb_1_new	486.90625	5	5	1.0	0.0601447156897131	0.9833333333333334	0.6033277746227772	-7.837470710390613
32_pop_isol_stim_full_inb_1_new	486.90625	13	5	0.6	0.0438636713891686	1.0	0.9724679242719064	3.6330573679246863
